Case Nr,Case Record Type,Subject,Age in Days,Case Origin,Potential Liability,Case Reason,Status,First Contact Resolution,Priority,CSAT
CN-0000466,CSAT,CN-0000466 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000467,CSAT,CN-0000467 - Installation - Phone,56,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000468,CSAT,CN-0000468 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000469,CSAT,CN-0000469 - Equipment Design - Chat,1,Chat,FALSE,Equipment Design,New,FALSE,Low,10800
CN-0000470,CSAT,CN-0000470 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000471,CSAT,CN-0000471 - Installation - Phone,38,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000472,CSAT,CN-0000472 - Equipment Complexity - Phone,33,Phone,FALSE,Equipment Complexity,Closed,FALSE,Medium,4800
CN-0000473,CSAT,CN-0000473 - Installation - Chat,23,Chat,FALSE,Installation,Working,FALSE,Medium,3000
CN-0000474,CSAT,CN-0000474 - Installation - Phone,22,Phone,FALSE,Installation,Working,TRUE,Low,-500
CN-0000475,CSAT,CN-0000475 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000476,CSAT,CN-0000476 - Equipment Complexity - Phone,34,Phone,TRUE,Equipment Complexity,Working,TRUE,Medium,-1200
CN-0000477,CSAT,CN-0000477 - Equipment Complexity - Phone,29,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-750
CN-0000478,CSAT,CN-0000478 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000479,CSAT,CN-0000479 - Installation - Phone,2,Phone,FALSE,Installation,New,FALSE,Low,1200
CN-0000480,CSAT,CN-0000480 - Feedback - Phone,9,Phone,TRUE,Feedback,Closed,TRUE,Low,-8100
CN-0000481,CSAT,CN-0000481 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000482,CSAT,CN-0000482 - Installation - Phone,50,Phone,TRUE,Installation,Working,TRUE,Low,-225
CN-0000483,CSAT,CN-0000483 - Installation - Phone,63,Phone,FALSE,Installation,Working,FALSE,Low,300
CN-0000484,CSAT,CN-0000484 - Equipment Complexity - Chat,25,Chat,TRUE,Equipment Complexity,Working,FALSE,High,6750
CN-0000485,CSAT,CN-0000485 - Performance - Phone,30,Phone,FALSE,Performance,New,TRUE,Low,-3200
CN-0000486,CSAT,CN-0000486 - Equipment Complexity - Phone,35,Phone,FALSE,Equipment Complexity,Working,FALSE,High,2400
CN-0000487,CSAT,CN-0000487 - Installation - Chat,58,Chat,TRUE,Installation,Working,TRUE,High,-2025
CN-0000488,CSAT,CN-0000488 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000489,CSAT,CN-0000489 - Equipment Complexity - Phone,9,Phone,TRUE,Equipment Complexity,New,FALSE,Low,1800
CN-0000490,CSAT,CN-0000490 - Equipment Complexity - Phone,30,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-600
CN-0000491,CSAT,CN-0000491 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000492,CSAT,CN-0000492 - Installation - Phone,55,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000493,CSAT,CN-0000493 - Installation - Chat,71,Chat,TRUE,Installation,Working,TRUE,High,-1350
CN-0000494,CSAT,CN-0000494 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000495,CSAT,CN-0000495 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000496,CSAT,CN-0000496 - Equipment Complexity - Chat,54,Chat,FALSE,Equipment Complexity,Working,FALSE,High,5400
CN-0000497,CSAT,CN-0000497 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000498,CSAT,CN-0000498 - Equipment Complexity - Phone,25,Phone,FALSE,Equipment Complexity,Closed,TRUE,High,-9000
CN-0000499,CSAT,CN-0000499 - Installation - Phone,24,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000500,CSAT,CN-0000500 - Installation - Phone,17,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000501,CSAT,CN-0000501 - Installation - Email,21,Email,FALSE,Installation,Working,TRUE,Low,-1000
CN-0000502,CSAT,CN-0000502 - Installation - Email,30,Email,FALSE,Installation,Working,TRUE,Low,-800
CN-0000503,CSAT,CN-0000503 - Installation - Phone,37,Phone,FALSE,Installation,Working,TRUE,Low,-400
CN-0000504,CSAT,CN-0000504 - Installation - Phone,16,Phone,FALSE,Installation,Working,FALSE,High,1500
CN-0000505,CSAT,CN-0000505 - Equipment Complexity - Chat,18,Chat,TRUE,Equipment Complexity,Working,TRUE,High,-6750
CN-0000506,CSAT,CN-0000506 - Installation - Phone,33,Phone,FALSE,Installation,Closed,FALSE,Medium,2400
CN-0000507,CSAT,CN-0000507 - Installation - Phone,30,Phone,TRUE,Installation,Working,FALSE,High,900
CN-0000508,CSAT,CN-0000508 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000509,CSAT,CN-0000509 - Installation - Phone,26,Phone,TRUE,Installation,Working,FALSE,Low,375
CN-0000510,CSAT,CN-0000510 - Installation - Email,29,Email,TRUE,Installation,Working,FALSE,Low,750
CN-0000511,CSAT,CN-0000511 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000512,CSAT,CN-0000512 - Installation - Phone,36,Phone,TRUE,Installation,Working,FALSE,High,900
CN-0000513,CSAT,CN-0000513 - Equipment Complexity - Chat,54,Chat,FALSE,Equipment Complexity,Working,FALSE,High,5400
CN-0000514,CSAT,CN-0000514 - Installation - Phone,24,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000515,CSAT,CN-0000515 - Installation - Phone,47,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000516,CSAT,CN-0000516 - Installation - Phone,34,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000517,CSAT,CN-0000517 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000518,CSAT,CN-0000518 - Equipment Complexity - Phone,36,Phone,FALSE,Equipment Complexity,Working,FALSE,Medium,1600
CN-0000519,CSAT,CN-0000519 - Installation - Phone,32,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000520,CSAT,CN-0000520 - Installation - Phone,30,Phone,FALSE,Installation,Working,FALSE,High,1200
CN-0000521,CSAT,CN-0000521 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000522,CSAT,CN-0000522 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000523,CSAT,CN-0000523 - Installation - Chat,44,Chat,FALSE,Installation,New,FALSE,High,7200
CN-0000524,CSAT,CN-0000524 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000525,CSAT,CN-0000525 - Installation - Email,41,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000526,CSAT,CN-0000526 - Installation - Phone,50,Phone,FALSE,Installation,Working,FALSE,Medium,600
CN-0000527,CSAT,CN-0000527 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000528,CSAT,CN-0000528 - Installation - Phone,39,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000529,CSAT,CN-0000529 - Equipment Design - Phone,23,Phone,TRUE,Equipment Design,New,TRUE,Medium,-4500
CN-0000530,CSAT,CN-0000530 - Equipment Complexity - Phone,2,Phone,FALSE,Equipment Complexity,New,FALSE,Medium,4800
CN-0000531,CSAT,CN-0000531 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000532,CSAT,CN-0000532 - Equipment Complexity - Chat,17,Chat,TRUE,Equipment Complexity,New,TRUE,Low,-4500
CN-0000533,CSAT,CN-0000533 - Installation - Chat,30,Chat,FALSE,Installation,Closed,FALSE,Low,3600
CN-0000534,CSAT,CN-0000534 - Installation - Phone,30,Phone,FALSE,Installation,Working,TRUE,Low,-400
CN-0000535,CSAT,CN-0000535 - Installation - Phone,7,Phone,FALSE,Installation,Closed,FALSE,Medium,3600
CN-0000536,CSAT,CN-0000536 - Installation - Phone,45,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000537,CSAT,CN-0000537 - Installation - Chat,30,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000538,CSAT,CN-0000538 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000539,CSAT,CN-0000539 - Installation - Chat,22,Chat,FALSE,Installation,Closed,FALSE,High,13500
CN-0000540,CSAT,CN-0000540 - Installation - Phone,36,Phone,FALSE,Installation,Closed,FALSE,High,3600
CN-0000541,CSAT,CN-0000541 - Breakdown - Phone,9,Phone,FALSE,Breakdown,Closed,TRUE,Low,-9000
CN-0000542,CSAT,CN-0000542 - Breakdown - Phone,11,Phone,FALSE,Breakdown,Closed,TRUE,Low,-7500
CN-0000543,CSAT,CN-0000543 - Equipment Complexity - Phone,32,Phone,TRUE,Equipment Complexity,Working,FALSE,Medium,1200
CN-0000544,CSAT,CN-0000544 - Equipment Complexity - Chat,50,Chat,TRUE,Equipment Complexity,Working,TRUE,High,-4050
CN-0000545,CSAT,CN-0000545 - Installation - Phone,64,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000546,CSAT,CN-0000546 - Equipment Complexity - Phone,19,Phone,FALSE,Equipment Complexity,Working,FALSE,Medium,2000
CN-0000547,CSAT,CN-0000547 - Installation - Chat,30,Chat,TRUE,Installation,Working,FALSE,Medium,1800
CN-0000548,CSAT,CN-0000548 - Equipment Complexity - Phone,33,Phone,TRUE,Equipment Complexity,New,TRUE,Low,-1200
CN-0000549,CSAT,CN-0000549 - Equipment Complexity - Phone,8,Phone,TRUE,Equipment Complexity,New,FALSE,Medium,3600
CN-0000550,CSAT,CN-0000550 - Installation - Chat,17,Chat,TRUE,Installation,Closed,FALSE,High,10125
CN-0000551,CSAT,CN-0000551 - Installation - Phone,27,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000552,CSAT,CN-0000552 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000553,CSAT,CN-0000553 - Installation - Chat,22,Chat,TRUE,Installation,Working,FALSE,Low,1125
CN-0000554,CSAT,CN-0000554 - Installation - Phone,22,Phone,FALSE,Installation,Working,FALSE,Low,500
CN-0000555,CSAT,CN-0000555 - Installation - Phone,62,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000556,CSAT,CN-0000556 - Equipment Complexity - Chat,48,Chat,FALSE,Equipment Complexity,Working,FALSE,High,7200
CN-0000557,CSAT,CN-0000557 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,High,-2700
CN-0000558,CSAT,CN-0000558 - Equipment Complexity - Phone,39,Phone,FALSE,Equipment Complexity,New,FALSE,High,4800
CN-0000559,CSAT,CN-0000559 - Equipment Complexity - Phone,36,Phone,FALSE,Equipment Complexity,Working,FALSE,Low,800
CN-0000560,CSAT,CN-0000560 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000561,CSAT,CN-0000561 - Installation - Phone,40,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000562,CSAT,CN-0000562 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000563,CSAT,CN-0000563 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000564,CSAT,CN-0000564 - Installation - Phone,30,Phone,FALSE,Installation,Working,TRUE,Low,-400
CN-0000565,CSAT,CN-0000565 - Equipment Design - Phone,24,Phone,TRUE,Equipment Design,Working,TRUE,Low,-1125
CN-0000566,CSAT,CN-0000566 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000567,CSAT,CN-0000567 - Installation - Phone,29,Phone,FALSE,Installation,Escalated,TRUE,Low,-2500
CN-0000568,CSAT,CN-0000568 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000569,CSAT,CN-0000569 - Installation - Phone,32,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000570,CSAT,CN-0000570 - Installation - Phone,62,Phone,TRUE,Installation,Working,FALSE,Medium,450
CN-0000571,CSAT,CN-0000571 - Equipment Design - Phone,53,Phone,FALSE,Equipment Design,Working,FALSE,High,2700
CN-0000572,CSAT,CN-0000572 - Installation - Phone,36,Phone,TRUE,Installation,Working,FALSE,High,900
CN-0000573,CSAT,CN-0000573 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000574,CSAT,CN-0000574 - Installation - Phone,16,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000575,CSAT,CN-0000575 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000576,CSAT,CN-0000576 - Installation - Phone,34,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000577,CSAT,CN-0000577 - Equipment Complexity - Phone,39,Phone,FALSE,Equipment Complexity,Working,FALSE,High,2400
CN-0000578,CSAT,CN-0000578 - Equipment Complexity - Chat,30,Chat,FALSE,Equipment Complexity,Working,TRUE,Low,-2400
CN-0000579,CSAT,CN-0000579 - Installation - Phone,32,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000580,CSAT,CN-0000580 - Equipment Complexity - Phone,25,Phone,FALSE,Equipment Complexity,New,FALSE,Medium,4000
CN-0000581,CSAT,CN-0000581 - Equipment Complexity - Chat,39,Chat,FALSE,Equipment Complexity,New,FALSE,High,14400
CN-0000582,CSAT,CN-0000582 - Installation - Phone,54,Phone,TRUE,Installation,Working,TRUE,Medium,-450
CN-0000583,CSAT,CN-0000583 - Installation - Chat,36,Chat,TRUE,Installation,Working,TRUE,High,-2700
CN-0000584,CSAT,CN-0000584 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000585,CSAT,CN-0000585 - Installation - Phone,18,Phone,FALSE,Installation,Closed,FALSE,High,4500
CN-0000586,CSAT,CN-0000586 - Installation - Phone,47,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000587,CSAT,CN-0000587 - Equipment Complexity - Chat,60,Chat,TRUE,Equipment Complexity,New,FALSE,High,8100
CN-0000588,CSAT,CN-0000588 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000589,CSAT,CN-0000589 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000590,CSAT,CN-0000590 - Installation - Phone,35,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000591,CSAT,CN-0000591 - Equipment Complexity - Chat,52,Chat,FALSE,Equipment Complexity,Working,FALSE,High,5400
CN-0000592,CSAT,CN-0000592 - Installation - Phone,47,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000593,CSAT,CN-0000593 - Installation - Email,30,Email,FALSE,Installation,Closed,TRUE,Low,-2400
CN-0000594,CSAT,CN-0000594 - Equipment Complexity - Phone,37,Phone,TRUE,Equipment Complexity,Working,TRUE,Medium,-1200
CN-0000595,CSAT,CN-0000595 - Equipment Complexity - Phone,36,Phone,TRUE,Equipment Complexity,New,TRUE,Low,-1200
CN-0000596,CSAT,CN-0000596 - Installation - Phone,30,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000597,CSAT,CN-0000597 - Installation - Phone,49,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000598,CSAT,CN-0000598 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000599,CSAT,CN-0000599 - Equipment Complexity - Chat,49,Chat,TRUE,Equipment Complexity,Working,FALSE,High,5400
CN-0000600,CSAT,CN-0000600 - Equipment Design - Phone,24,Phone,FALSE,Equipment Design,New,FALSE,Medium,6000
CN-0000601,CSAT,CN-0000601 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000602,CSAT,CN-0000602 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000603,CSAT,CN-0000603 - Installation - Phone,44,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000604,CSAT,CN-0000604 - Installation - Chat,35,Chat,TRUE,Installation,Working,FALSE,High,2700
CN-0000605,CSAT,CN-0000605 - Equipment Complexity - Phone,36,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-600
CN-0000606,CSAT,CN-0000606 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000607,CSAT,CN-0000607 - Installation - Phone,27,Phone,TRUE,Installation,Working,FALSE,High,1125
CN-0000608,CSAT,CN-0000608 - Equipment Complexity - Chat,22,Chat,FALSE,Equipment Complexity,Closed,FALSE,Medium,18000
CN-0000609,CSAT,CN-0000609 - Installation - Phone,40,Phone,FALSE,Installation,Working,FALSE,High,1200
CN-0000610,CSAT,CN-0000610 - Equipment Complexity - Phone,39,Phone,FALSE,Equipment Complexity,Attention,TRUE,Low,-4800
CN-0000611,CSAT,CN-0000611 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000612,CSAT,CN-0000612 - Equipment Complexity - Email,30,Email,FALSE,Equipment Complexity,Working,FALSE,Low,1600
CN-0000613,CSAT,CN-0000613 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000614,CSAT,CN-0000614 - Installation - Phone,35,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000615,CSAT,CN-0000615 - Equipment Complexity - Phone,24,Phone,FALSE,Equipment Complexity,Closed,FALSE,Medium,6000
CN-0000616,CSAT,CN-0000616 - Equipment Complexity - Phone,34,Phone,TRUE,Equipment Complexity,New,TRUE,Low,-1200
CN-0000617,CSAT,CN-0000617 - Equipment Complexity - Phone,26,Phone,FALSE,Equipment Complexity,Working,TRUE,Low,-1000
CN-0000618,CSAT,CN-0000618 - Equipment Design - Phone,4,Phone,FALSE,Equipment Design,New,FALSE,Medium,7200
CN-0000619,CSAT,CN-0000619 - Installation - Phone,26,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000620,CSAT,CN-0000620 - Equipment Complexity - Chat,27,Chat,TRUE,Equipment Complexity,Working,TRUE,Low,-2250
CN-0000621,CSAT,CN-0000621 - Equipment Complexity - Phone,42,Phone,TRUE,Equipment Complexity,Working,FALSE,High,1800
CN-0000622,CSAT,CN-0000622 - Equipment Complexity - Chat,20,Chat,TRUE,Equipment Complexity,New,FALSE,Low,4500
CN-0000623,CSAT,CN-0000623 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000624,CSAT,CN-0000624 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000625,CSAT,CN-0000625 - Installation - Phone,61,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000626,CSAT,CN-0000626 - Installation - Email,57,Email,TRUE,Installation,Working,TRUE,Medium,-900
CN-0000627,CSAT,CN-0000627 - Installation - Phone,21,Phone,FALSE,Installation,Working,FALSE,High,1500
CN-0000628,CSAT,CN-0000628 - Installation - Phone,26,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000629,CSAT,CN-0000629 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000630,CSAT,CN-0000630 - Installation - Phone,80,Phone,TRUE,Installation,Working,FALSE,High,450
CN-0000631,CSAT,CN-0000631 - Installation - Phone,51,Phone,TRUE,Installation,Working,TRUE,Low,-225
CN-0000632,CSAT,CN-0000632 - Installation - Chat,32,Chat,TRUE,Installation,Working,FALSE,High,2700
CN-0000633,CSAT,CN-0000633 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000634,CSAT,CN-0000634 - Performance - Phone,9,Phone,FALSE,Performance,Closed,TRUE,Low,-7200
CN-0000635,CSAT,CN-0000635 - Installation - Phone,28,Phone,FALSE,Installation,Working,FALSE,Medium,1000
CN-0000636,CSAT,CN-0000636 - Installation - Phone,32,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000637,CSAT,CN-0000637 - Equipment Complexity - Phone,31,Phone,TRUE,Equipment Complexity,New,TRUE,Medium,-2400
CN-0000638,CSAT,CN-0000638 - Installation - Phone,41,Phone,FALSE,Installation,Attention,TRUE,Low,-2400
CN-0000639,CSAT,CN-0000639 - Equipment Complexity - Phone,30,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-600
CN-0000640,CSAT,CN-0000640 - Installation - Phone,20,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000641,CSAT,CN-0000641 - Installation - Chat,24,Chat,FALSE,Installation,Working,FALSE,High,4500
CN-0000642,CSAT,CN-0000642 - Performance - Phone,2,Phone,FALSE,Performance,Closed,TRUE,Low,-7200
CN-0000643,CSAT,CN-0000643 - Installation - Phone,30,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000644,CSAT,CN-0000644 - Equipment Design - Chat,1,Chat,FALSE,Equipment Design,New,FALSE,Low,10800
CN-0000645,CSAT,CN-0000645 - Equipment Complexity - Chat,48,Chat,TRUE,Equipment Complexity,Working,FALSE,High,5400
CN-0000646,CSAT,CN-0000646 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000647,CSAT,CN-0000647 - Installation - Chat,56,Chat,TRUE,Installation,Working,FALSE,High,2025
CN-0000648,CSAT,CN-0000648 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000649,CSAT,CN-0000649 - Installation - Phone,23,Phone,FALSE,Installation,Working,FALSE,Low,500
CN-0000650,CSAT,CN-0000650 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000651,CSAT,CN-0000651 - Installation - Phone,18,Phone,FALSE,Installation,New,FALSE,Medium,2000
CN-0000652,CSAT,CN-0000652 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000653,CSAT,CN-0000653 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000654,CSAT,CN-0000654 - Installation - Email,18,Email,FALSE,Installation,Working,TRUE,Low,-1000
CN-0000655,CSAT,CN-0000655 - Equipment Design - Phone,24,Phone,TRUE,Equipment Design,Working,TRUE,Medium,-2250
CN-0000656,CSAT,CN-0000656 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000657,CSAT,CN-0000657 - Equipment Complexity - Email,32,Email,FALSE,Equipment Complexity,New,TRUE,Low,-3200
CN-0000658,CSAT,CN-0000658 - Installation - Phone,23,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000659,CSAT,CN-0000659 - Installation - Chat,58,Chat,TRUE,Installation,Closed,TRUE,High,-6075
CN-0000660,CSAT,CN-0000660 - Equipment Design - Phone,50,Phone,TRUE,Equipment Design,Working,FALSE,High,2025
CN-0000661,CSAT,CN-0000661 - Installation - Chat,40,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000662,CSAT,CN-0000662 - Installation - Phone,47,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000663,CSAT,CN-0000663 - Installation - Phone,36,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000664,CSAT,CN-0000664 - Equipment Complexity - Phone,20,Phone,TRUE,Equipment Complexity,Working,FALSE,Low,750
CN-0000665,CSAT,CN-0000665 - Equipment Design - Phone,32,Phone,TRUE,Equipment Design,Working,TRUE,Medium,-1800
CN-0000666,CSAT,CN-0000666 - Installation - Phone,25,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000667,CSAT,CN-0000667 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000668,CSAT,CN-0000668 - Installation - Phone,43,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000669,CSAT,CN-0000669 - Equipment Complexity - Phone,30,Phone,FALSE,Equipment Complexity,Working,FALSE,High,2400
CN-0000670,CSAT,CN-0000670 - Equipment Complexity - Phone,40,Phone,FALSE,Equipment Complexity,New,FALSE,Medium,3200
CN-0000671,CSAT,CN-0000671 - Equipment Complexity - Phone,31,Phone,TRUE,Equipment Complexity,Working,TRUE,High,-1800
CN-0000672,CSAT,CN-0000672 - Installation - Phone,70,Phone,TRUE,Installation,Working,TRUE,Medium,-300
CN-0000673,CSAT,CN-0000673 - Installation - Phone,31,Phone,TRUE,Installation,Working,FALSE,Medium,600
CN-0000674,CSAT,CN-0000674 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000675,CSAT,CN-0000675 - Installation - Phone,18,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000676,CSAT,CN-0000676 - Installation - Phone,25,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000677,CSAT,CN-0000677 - Installation - Phone,18,Phone,FALSE,Installation,Working,FALSE,Low,500
CN-0000678,CSAT,CN-0000678 - Equipment Complexity - Phone,43,Phone,FALSE,Equipment Complexity,Warning,TRUE,Low,-5600
CN-0000679,CSAT,CN-0000679 - Installation - Chat,36,Chat,TRUE,Installation,New,FALSE,High,5400
CN-0000680,CSAT,CN-0000680 - Installation - Email,30,Email,FALSE,Installation,Working,TRUE,Low,-800
CN-0000681,CSAT,CN-0000681 - Installation - Chat,27,Chat,TRUE,Installation,Working,FALSE,High,3375
CN-0000682,CSAT,CN-0000682 - Installation - Phone,20,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000683,CSAT,CN-0000683 - Feedback - Phone,14,Phone,TRUE,Feedback,Closed,TRUE,Low,-6750
CN-0000684,CSAT,CN-0000684 - Equipment Complexity - Phone,60,Phone,TRUE,Equipment Complexity,New,TRUE,Medium,-1800
CN-0000685,CSAT,CN-0000685 - Equipment Complexity - Chat,25,Chat,TRUE,Equipment Complexity,Closed,TRUE,Medium,-13500
CN-0000686,CSAT,CN-0000686 - Breakdown - Phone,14,Phone,TRUE,Breakdown,New,TRUE,Low,-3750
CN-0000687,CSAT,CN-0000687 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000688,CSAT,CN-0000688 - Installation - Phone,18,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000689,CSAT,CN-0000689 - Installation - Phone,15,Phone,FALSE,Installation,New,FALSE,High,3000
CN-0000690,CSAT,CN-0000690 - Equipment Complexity - Phone,31,Phone,TRUE,Equipment Complexity,Working,FALSE,High,1800
CN-0000691,CSAT,CN-0000691 - Installation - Chat,4,Chat,FALSE,Installation,New,FALSE,Low,3600
CN-0000692,CSAT,CN-0000692 - Installation - Phone,30,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000693,CSAT,CN-0000693 - Installation - Chat,25,Chat,TRUE,Installation,Working,TRUE,Low,-1125
CN-0000694,CSAT,CN-0000694 - Installation - Phone,60,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000695,CSAT,CN-0000695 - Installation - Phone,52,Phone,TRUE,Installation,Working,TRUE,Medium,-450
CN-0000696,CSAT,CN-0000696 - Installation - Phone,44,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000697,CSAT,CN-0000697 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000698,CSAT,CN-0000698 - Equipment Complexity - Chat,49,Chat,TRUE,Equipment Complexity,New,TRUE,High,-10800
CN-0000699,CSAT,CN-0000699 - Installation - Phone,42,Phone,TRUE,Installation,Working,TRUE,Low,-300
